[I 2023-08-09 11:49:51,247] A new study created in memory with name: no-name-8317af28-a39a-4a42-8212-236995cba082
[I 2023-08-09 12:23:06,714] Trial 17 finished with value: 0.7671899999999999 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0009}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:24:50,901] Trial 18 finished with value: 0.780492 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 128, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0003}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:26:41,646] Trial 19 finished with value: 0.4760760000000001 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0004}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:28:30,225] Trial 20 finished with value: 0.783948 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:30:19,496] Trial 21 finished with value: 0.6863699999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:32:09,785] Trial 22 finished with value: 0.714456 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:34:00,756] Trial 23 finished with value: 0.720944 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0006}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:35:42,719] Trial 24 finished with value: 0.606964 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 64, 'critic_l4_in': 64, 'actor_lr': 0.0007}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:37:35,792] Trial 25 finished with value: 0.7155879999999999 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 2 with value: 0.791756.
[I 2023-08-09 12:39:51,181] Trial 26 finished with value: 0.7969999999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
