
[I 2023-08-07 13:02:18,435] Trial 17 finished with value: 0.789928 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:04:04,822] Trial 18 finished with value: 0.4865120000000001 and parameters: {'alpha': 10, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 192, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 128, 'actor_lr': 0.0003}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:05:46,458] Trial 19 finished with value: 0.5942719999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 256, 'actor_l3_in': 128, 'actor_l4_in': 256, 'critic_l2_in': 128, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0004}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:07:32,542] Trial 20 finished with value: 0.4872140000000001 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 64, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0009}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:09:18,081] Trial 21 finished with value: 0.7851520000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:11:02,540] Trial 22 finished with value: 0.7840999999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:12:47,118] Trial 23 finished with value: 0.775292 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:14:33,409] Trial 24 finished with value: 0.559706 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0006}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:16:19,446] Trial 25 finished with value: 0.48371000000000003 and parameters: {'alpha': 10, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0005}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:18:06,846] Trial 26 finished with value: 0.70745 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 256, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 64, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:19:49,030] Trial 27 finished with value: 0.7790320000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 128, 'actor_l4_in': 256, 'critic_l2_in': 128, 'critic_l3_in': 192, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:21:37,606] Trial 28 finished with value: 0.714612 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 128, 'critic_l4_in': 128, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:23:27,650] Trial 29 finished with value: 0.496176 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 256, 'actor_l2_in': 192, 'actor_l3_in': 64, 'actor_l4_in': 192, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 192, 'actor_lr': 0.0007}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:25:09,421] Trial 30 finished with value: 0.7480740000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 64, 'actor_l4_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:26:55,517] Trial 31 finished with value: 0.7736859999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:28:39,913] Trial 32 finished with value: 0.7644040000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0002}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:30:24,453] Trial 33 finished with value: 0.77462 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:32:22,151] Trial 34 finished with value: 0.50803 and parameters: {'alpha': 6, 'beta': 2.0, 'l1_in': 256, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 256, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:34:04,703] Trial 35 finished with value: 0.641698 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 128, 'actor_lr': 0.0008}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:35:45,123] Trial 36 finished with value: 0.47968800000000006 and parameters: {'alpha': 2, 'beta': 3.0, 'l1_in': 128, 'actor_l2_in': 128, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 192, 'critic_l4_in': 256, 'actor_lr': 0.0007}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:37:30,872] Trial 37 finished with value: 0.5281180000000001 and parameters: {'alpha': 4, 'beta': 1.5, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 64, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:39:32,309] Trial 38 finished with value: 0.483608 and parameters: {'alpha': 6, 'beta': 2.0, 'l1_in': 256, 'actor_l2_in': 64, 'actor_l3_in': 192, 'actor_l4_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0009}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:41:18,940] Trial 39 finished with value: 0.483638 and parameters: {'alpha': 10, 'beta': 3.0, 'l1_in': 128, 'actor_l2_in': 128, 'actor_l3_in': 64, 'actor_l4_in': 192, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 256, 'actor_lr': 0.0004}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:42:59,595] Trial 40 finished with value: 0.527766 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 192, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0002}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:44:45,726] Trial 41 finished with value: 0.7857940000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:46:29,695] Trial 42 finished with value: 0.784582 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
